"enhancer"	"BasalNorm.FC"	"phenotype"
"1"	"ABCC3_11-I"	1.34976787917964	"Invasive"
"10"	"COL5A1_-17-D"	1.29200463499421	"Invasive"
"24"	"GPR39_23-I"	4.28992818057456	"Invasive"
"27"	"IRF4_4-I"	5.84704123248418	"Proliferative"
"31"	"MLANA_5-I"	42.567002344416	"Proliferative"
"38"	"SOX10_15-3UA"	1.29531005578348	"Proliferative"
"42"	"SOX10_-56-DA"	1.19417332634613	"Proliferative"
"45"	"TYR_-9-D"	57.0040439255496	"Proliferative"
